test_index,horizon,epsilon,sigma1_sq,G_TG,G_v2,G_random_mean,G_random_max,G_PGD,alignment
0,20,0.01,12.736445946909353,12.73834124110712,6.933444570197658,2.4681535488230826,5.607828518033774,12.738441058408917,0.9999966740963513
314,20,0.01,8.749287656990695,8.738554073143845,5.2734021569891185,2.1534964037613675,4.0567689476183215,8.738659884066882,0.9999947783426483
629,20,0.01,7.785398653035862,7.7989128656200535,5.296320422689093,1.6409528611562358,2.77610750182499,7.798954621037574,0.9999978006433845
944,20,0.01,5.369162881596752,5.361647449921504,3.463028018570572,1.3694180427463782,2.0257865472018173,5.3617042817340606,0.9999955546629383
1258,20,0.01,4.888489028449859,4.890665017017353,3.824046131734824,1.315989086703823,2.385265037306376,4.890725862926287,0.9999946569146134
1573,20,0.01,11.032996734208744,11.058964342905295,4.217055997265739,1.8199314166471066,3.693665212922868,11.05907274466536,0.9999961262900661
1888,20,0.01,7.2152695401568945,7.221358349345505,4.94865321599437,1.4962090261035155,2.912632797686885,7.221417677749555,0.9999967467627093
2202,20,0.01,8.361658136637494,8.346809203861017,4.034262236401544,1.5608332163235068,4.249569233552368,8.346897796882848,0.9999954943137104
2517,20,0.01,5.582200572692069,5.57942676817161,4.313920478720261,1.4656546928208738,2.725392855690329,5.579504439772444,0.9999935103243516
2832,20,0.01,4.387532238968533,4.376688388197097,3.7989859181879706,1.2823474923082299,2.142010722679613,4.37672981619211,0.999995757707334
3146,20,0.01,6.03935294052508,6.039915713609036,5.258472249073639,1.6672723776443015,2.5484616196287626,6.039980119752771,0.999995333549746
3461,20,0.01,7.450888216546333,7.451958447639207,5.2395433242410485,1.4152222006693198,2.643556849697296,7.452052514394578,0.9999943208751193
3776,20,0.01,7.405799411172501,7.413766531293946,6.6165734316993525,2.0097307126021917,3.1708916997397605,7.413808988371229,0.9999976551205803
4090,20,0.01,6.998286520253317,7.004840594637317,5.963051168060256,1.5364005751041063,2.69114482451109,7.004895007297988,0.9999967155747238
4405,20,0.01,8.358506942964963,8.34704786818935,3.8419231549975645,1.4941820978010827,2.8395792278253613,8.34710990618435,0.9999969280824601
4720,20,0.01,10.460459343458393,10.488073501539331,6.290722003394713,1.6700177118733694,2.961025457313387,10.488198964787896,0.999994957013096
5034,20,0.01,5.118685504967482,5.108465199138884,4.599566961539261,1.3692602934012639,2.454141937234164,5.108538161334231,0.9999934201695875
5349,20,0.01,6.868173268813317,6.8631401398032486,5.377687348952304,1.6400900762679047,2.923528992229664,6.86320602574855,0.9999961081547192
5664,20,0.01,6.727062973372336,6.706058289940199,4.328739938135393,1.4723416222246315,2.0456658670224837,6.706110724119181,0.9999966274242298
5979,20,0.01,7.288539231004052,7.272432533041064,6.128829727248114,1.7740395969265734,2.7779336798832173,7.272501238153145,0.9999959572607147
