test_index,horizon,epsilon,sigma1_sq,G_TG,G_v2,G_random_mean,G_random_max,G_PGD,alignment
0,20,0.01,7.307513369162204,7.312612763598751,5.029036543368713,1.391078720893214,2.8038756762354917,7.312667219930286,0.9999969146400104
314,20,0.01,4.943027357020996,4.941064120938279,3.716977556819945,1.4016060495389249,2.1426957725841733,4.941119402829614,0.9999948973721007
629,20,0.01,4.96357033945344,4.959646910126791,3.802369947608843,1.416781550001539,2.768189362172117,4.959682520853986,0.9999968198975577
944,20,0.01,7.340743100329109,7.344820622539173,5.851161798444391,1.5451561152829816,2.9279829844406167,7.344865047170443,0.9999974397843203
1258,20,0.01,5.87725165385447,5.868948847159373,4.9584154262528966,1.455730059344215,3.0522788626783575,5.868979564550872,0.9999977819885452
1573,20,0.01,5.56740477360625,5.583837323221361,3.8268859221772322,1.3910051387483695,1.9389897240928196,5.583865202646817,0.9999978794445445
1888,20,0.01,7.937920313633766,7.941922788233969,5.340776283505477,1.732084417990777,2.9113852266224067,7.942116818745854,0.9999887801746222
2202,20,0.01,5.381042543775136,5.374527813717161,4.253135268007914,1.4055361989651778,2.2900852217246452,5.374555911089317,0.9999977706134876
2517,20,0.01,8.63434532552829,8.642745920042682,6.28944355319143,1.6098482783062813,3.0491738990462243,8.64283961317889,0.9999955724870178
2832,20,0.01,14.86338127198949,14.878403766448466,6.426960685200685,2.564397068705113,5.316463516725652,14.878509806189745,0.9999971730138866
3146,20,0.01,6.08435723906202,6.080497053271967,4.603921761965856,1.6691493776905912,2.9511768001714622,6.0805481380946205,0.999996373250242
3461,20,0.01,7.369463695777342,7.379094248769033,5.266591098612671,1.519719469127995,2.923965536576052,7.379129532969094,0.9999978869837777
3776,20,0.01,5.275971218492039,5.269516016568536,4.755297678455881,1.2619164572863517,2.464026595428688,5.2695546806866025,0.9999967798402406
4090,20,0.01,5.300844059851993,5.308242540256905,4.244134568607117,1.5189034520075442,2.9078100200309147,5.308298453490541,0.9999952284543039
4405,20,0.01,5.454800409078379,5.443829463761667,4.573413919919251,1.304844112486274,2.052210094249933,5.44386354852703,0.9999971850282983
4720,20,0.01,8.952278849994197,8.961356142947933,4.504438602479151,1.5622520722172042,3.9256841087808705,8.961427118195337,0.9999968321992551
5034,20,0.01,7.1310308331421,7.138208675593764,4.2758326507233,1.7179668932759653,3.1364075469966743,7.138305639407131,0.9999940887151726
5349,20,0.01,8.193667965833644,8.203879954323744,3.541729335893363,1.3328110645553242,2.0669659203618522,8.203946591455322,0.999996502473186
5664,20,0.01,6.950107506543697,6.9603272426406315,4.260797647726857,1.4286898214476256,3.9353968157641783,6.960416896930071,0.9999943566971098
5979,20,0.01,5.86876989271834,5.864356233812784,4.430005374552367,1.5864822415414912,2.255264603459724,5.864433175706354,0.9999940734808549
