epsilon,alignment,sigma1_sq,G_NL_TG,G_NL_PGD,test_index
1e-06,0.9999999999999691,7.307513369162204,7.307513898941379,7.307513888229588,0
3.5938136638046257e-06,0.9999999999995984,7.307513369162204,7.307515238423498,7.307515238799798,0
1.2915496650148827e-05,0.9999999999948128,7.307513369162204,7.307520084902312,7.307520085258835,0
4.641588833612782e-05,0.9999999999330069,7.307513369162204,7.307537502296146,7.307537503522465,0
0.0001668100537200059,0.9999999991348314,7.307513369162204,7.307600078852965,7.307600094057156,0
0.0005994842503189409,0.9999999888297018,7.307513369162204,7.3078247274987636,7.307824924293592,0
0.0021544346900318843,0.9999998559056902,7.307513369162204,7.308628974046522,7.308631513522838,0
0.007742636826811277,0.999998147091706,7.307513369162204,7.311479212230531,7.311511901984686,0
0.02782559402207126,0.999976444655763,7.307513369162204,7.321202627336403,7.321619751887015,0
0.1,0.9997128204923681,7.307513369162204,7.349342824127217,7.354490764849358,0
1e-06,0.9999999999999492,4.943027357020996,4.943027161869463,4.943027155380623,314
3.5938136638046257e-06,0.9999999999993427,4.943027357020996,4.94302665665325,4.943026656277265,314
1.2915496650148827e-05,0.9999999999915097,4.943027357020996,4.943024842801057,4.943024842804341,314
4.641588833612782e-05,0.9999999998903446,4.943027357020996,4.943018322058108,4.94301832315709,314
0.0001668100537200059,0.9999999985837043,4.943027357020996,4.942994883712135,4.9429948990761865,314
0.0005994842503189409,0.9999999817058149,4.943027357020996,4.94291061074809,4.942910809142081,314
0.0021544346900318843,0.999999763627846,4.943027357020996,4.942607231735693,4.942609794595196,314
0.007742636826811277,0.9999969428008106,4.943027357020996,4.941510239045701,4.941543368182468,314
0.02782559402207126,0.9999603155381412,4.943027357020996,4.937480296205453,4.937909486459975,314
0.1,0.9994785208488756,4.943027357020996,4.921821679068754,4.927423832574544,314
1e-06,0.999999999999968,4.96357033945344,4.96356994336637,4.96356994675023,629
3.5938136638046257e-06,0.9999999999995883,4.96357033945344,4.963568941415317,4.96356894179437,629
1.2915496650148827e-05,0.9999999999946835,4.96357033945344,4.963565318445975,4.963565318756291,629
4.641588833612782e-05,0.999999999931334,4.96357033945344,4.96355229542185,4.963552296324669,629
0.0001668100537200059,0.9999999991131687,4.96357033945344,4.963505485708617,4.96350549568301,629
0.0005994842503189409,0.9999999885472339,4.96357033945344,4.963337173489251,4.9633373019000695,629
0.0021544346900318843,0.9999998521329332,4.96357033945344,4.962731172884896,4.962732830495985,629
0.007742636826811277,0.9999980926089336,4.96357033945344,4.960538887797447,4.960560253403072,629
0.02782559402207126,0.9999754780553802,4.96357033945344,4.952474053713434,4.952747969634982,629
0.1,0.9996888462774923,4.96357033945344,4.921101808437336,4.924541817506076,629
1e-06,0.9999999999999746,7.340743100329109,7.340743520505424,7.340743515507349,944
3.5938136638046257e-06,0.999999999999669,7.340743100329109,7.340744604825808,7.340744604818036,944
1.2915496650148827e-05,0.9999999999957238,7.340743100329109,7.3407485081965325,7.340748508570536,944
4.641588833612782e-05,0.9999999999447695,7.340743100329109,7.340762534104196,7.340762534951872,944
0.0001668100537200059,0.9999999992866802,7.340743100329109,7.340812919366972,7.340812931755947,944
0.0005994842503189409,0.9999999907876508,7.340743100329109,7.340993732661298,7.340993892343652,944
0.0021544346900318843,0.9999998810426466,7.340743100329109,7.3416401528292035,7.341642215159731,944
0.007742636826811277,0.9999984647396568,7.340743100329109,7.343919412914099,7.343946045980632,944
0.02782559402207126,0.9999802215882236,7.340743100329109,7.351540578131531,7.3518844136234165,944
0.1,0.9997465093430066,7.340743100329109,7.3714141866014735,7.375846490001561,944
1e-06,0.999999999999978,5.87725165385447,5.877250829941622,5.877250823398317,1258
3.5938136638046257e-06,0.9999999999997148,5.87725165385447,5.8772486847333845,5.87724868397973,1258
1.2915496650148827e-05,0.9999999999963145,5.87725165385447,5.877240980852091,5.87724098123491,1258
4.641588833612782e-05,0.9999999999523972,5.87725165385447,5.877213297817156,5.877213298524362,1258
0.0001668100537200059,0.999999999385157,5.87725165385447,5.877113801606705,5.8771138101771605,1258
0.0005994842503189409,0.9999999920576701,5.87725165385447,5.876756136006957,5.876756246311446,1258
0.0021544346900318843,0.9999998973593646,5.87725165385447,5.875469530492045,5.875470955406245,1258
0.007742636826811277,0.9999986714903879,5.87725165385447,5.870829968049365,5.870848379486029,1258
0.02782559402207126,0.9999827091172955,5.87725165385447,5.853954793885992,5.854192938666962,1258
0.1,0.9997705533703632,5.87725165385447,5.7907943080011295,5.793883647401118,1258
1e-06,0.9999999999999787,5.56740477360625,5.5674064164150465,5.567406423109636,1573
3.5938136638046257e-06,0.9999999999997243,5.56740477360625,5.567410706002587,5.567410704953281,1573
1.2915496650148827e-05,0.9999999999964391,5.56740477360625,5.567426093479803,5.567426093648885,1573
4.641588833612782e-05,0.999999999954008,5.56740477360625,5.567481393635282,5.567481394275751,1573
0.0001668100537200059,0.9999999994060385,5.56740477360625,5.567680117186852,5.5676801249481445,1573
0.0005994842503189409,0.9999999923309237,5.56740477360625,5.568394114196608,5.568394214524247,1573
0.0021544346900318843,0.9999999010535103,5.56740477360625,5.570957781821752,5.570959077392442,1573
0.007742636826811277,0.9999987268380036,5.56740477360625,5.5801411300932635,5.5801578490462465,1573
0.02782559402207126,0.9999837750343472,5.56740477360625,5.61274630631782,5.612961576914331,1573
0.1,0.9998000203150956,5.56740477360625,5.724298606521101,5.727045684867546,1573
