epsilon,alignment,sigma1_sq,G_NL_TG,G_NL_PGD
1e-06,0.9999999999999891,4.8747272177507615,4.8747262955147574,4.874726295293101
3.5938136638046257e-06,0.9999999999998578,4.8747272177507615,4.8747238935337425,4.874723893591335
1.2915496650148827e-05,0.9999999999981624,4.8747272177507615,4.8747152713799515,4.874715271310885
4.641588833612782e-05,0.9999999999762645,4.8747272177507615,4.874684283976792,4.874684284308291
0.0001668100537200059,0.9999999996934323,4.8747272177507615,4.874572912348907,4.874572916019931
0.0005994842503189409,0.9999999960400341,4.8747272177507615,4.874172549523788,4.874172596755458
0.0021544346900318843,0.9999999488323252,4.8747272177507615,4.872732251465358,4.872732861370234
0.007742636826811277,0.9999993380805976,4.8747272177507615,4.8675371696137075,4.867545046683055
0.02782559402207126,0.9999914003037144,4.8747272177507615,4.848625035193334,4.848726766638387
0.1,0.9998863238975073,4.8747272177507615,4.777652536202354,4.778966796256499
