seed,test_index,horizon,sigma1_phi,Gmax,log_Gmax,spectral_radius_J,sigma1_J,fro_J,one_step_error,rollout_error,relative_rollout_error,linear_predicted_error,linear_to_actual_ratio,linear_vector_error,defect_amplification_bound,bound_to_actual_ratio,defect_l2_rms,defect_l2_sum,propagated_defect_norm_sum,effective_defect_gain,defect_cancellation_ratio,tg_alignment_mean,tg_alignment_weighted,gain_efficiency_mean
2,0,1,1.0541466479534498,1.1112251553914945,0.10546315024306209,1.023250493829457,1.05414664795345,4.445913384454001,0.09294959335238397,0.09294959335238405,0.019827607913157706,0.09294959335238408,0.9999999999999896,2.7755575615628914e-16,0.09294959335238408,0.9999999999999896,0.09294959335238408,0.09294959335238408,0.09294959335238408,0.9999999999999892,0.9999999999999892,nan,nan,nan
2,0,2,1.1107505868979108,1.2337668662940533,0.21007198242716876,1.023250493829457,1.05414664795345,4.445913384454001,0.09294959335238397,0.18616047184712925,0.03983011057168775,0.18616732808950937,1.0000368297432376,5.7871870513045066e-05,0.19241272974098583,1.0335853139596132,0.09368667560712937,0.18736759729367386,0.18649387797585049,0.9953368707799838,0.9982490047936887,0.10236903608224729,0.10236903608224619,0.9396003028037075
2,0,5,1.2959613733869317,1.6795158813109423,0.5185055860010566,1.023250493829457,1.05414664795345,4.445913384454001,0.09294959335238397,0.46542635558708434,0.10063116274386145,0.4655514626760568,1.0002688010411735,0.0014700858593050356,0.5335643111600705,1.1463990054603515,0.09583669451124822,0.47907962025267964,0.47145240613412215,0.98407944359116,0.9874834800262159,0.061899656764142566,0.061533881332122266,0.8595640082792234
2,0,10,1.6620294752539397,2.7623419766128863,1.0160788621716559,1.023250493829457,1.05414664795345,4.445913384454001,0.09294959335238397,0.9231716210381565,0.2048384334636382,0.9226992282666162,0.9994882936598397,0.01242560523021446,1.2694941046254695,1.3751442047122866,0.09908354483793459,0.9901482452069558,0.9677941306616478,0.9774234669873735,0.9534044473237271,0.13273226092722232,0.13475374987742886,0.7518892052070806
2,0,20,2.6081278401963357,6.802330830807203,1.9172653226864602,1.023250493829457,1.05414664795345,4.445913384454001,0.09294959335238397,1.809151690688122,0.4375038350576631,1.7883546985430234,0.9885045614184019,0.1652853823563051,3.429599109493867,1.895694610433355,0.10239831454739774,2.046058096134601,2.0782319801938907,1.0157248145202091,0.8605173607116643,0.2084639752346581,0.21245729860716,0.6333742432021867
2,0,40,5.4085974685406955,29.25292657670482,3.375979622577246,1.023250493829457,1.05414664795345,4.445913384454001,0.09294959335238397,3.2564585774840995,0.7987053398187974,2.969628310861708,0.9119195715844193,1.5108429165488164,8.814346487121462,2.7067276544114116,0.10535391061424085,4.202340146221751,4.597028776697596,1.0939211526774437,0.6459886276794253,0.05445781680632616,0.054863822303957005,0.5520821001906518
2,0,80,16.806232278223252,282.4494433895931,5.643499573118216,1.023250493829457,1.05414664795345,4.445913384454001,0.09294959335238397,7.5184306257381115,1.5997165537930678,6.17708148048297,0.8215918704279516,7.322084991349802,38.60496086986908,5.134709993560536,0.12077390684993866,9.556433937329778,17.258685579669574,1.8059755022480617,0.35791146735759893,0.16190015355703558,0.1506745107493346,0.47318079710719646
2,0,160,86.81101383964895,7536.1521238677215,8.927467002340638,1.023250493829457,1.05414664795345,4.445913384454001,0.09294959335238397,10.04941939022808,2.432809077966781,24.990266696593075,2.4867373652345797,25.18661758326378,327.4676640425265,32.58572971498747,0.12328428753809152,19.49099892842628,98.7304446950723,5.065437900726613,0.25311611604480455,0.2647575683779225,0.2612386455006512,0.3903792844130123
2,58,1,1.0647952482913652,1.13378892078387,0.12556505110504812,1.0314177827227982,1.0647952482913654,4.458563378922405,0.14369032310171762,0.14369032310171767,0.030633111963141238,0.14369032310171767,0.999999999999993,0.0,0.14369032310171767,0.999999999999993,0.14369032310171764,0.14369032310171767,0.14369032310171767,0.999999999999993,0.999999999999993,nan,nan,nan
2,58,2,1.1338040259151236,1.2855115691813424,0.25115674743542343,1.0314177827227982,1.0647952482913654,4.458563378922405,0.14369032310171762,0.290008836867884,0.06159451744847927,0.2899980253572676,0.9999627200648982,0.00014554446964554617,0.29893669298953673,1.030784772692009,0.14478891318916196,0.28956955332974343,0.29033688335839536,1.0026498988578993,0.9988328799386109,0.0787295382165407,0.07872953821654015,0.9438131961945478
2,58,5,1.3650650126235222,1.8634024886888567,0.6224041115967048,1.0314177827227982,1.0647952482913654,4.458563378922405,0.14369032310171762,0.7367505195325141,0.15505081993267056,0.7367618037146306,1.0000153161508765,0.004153301883814893,0.8331855842545993,1.1308924285296391,0.14640927353701738,0.7320078567404906,0.7430835607320164,1.015130580757484,0.9914925354947172,0.05090299099903854,0.050640690710200345,0.8717861616474448
2,58,10,1.821585033303235,3.318172033554348,1.1994140389938872,1.0314177827227982,1.0647952482913654,4.458563378922405,0.14369032310171762,1.4514291315844268,0.30307553038000773,1.4554046130872882,1.0027390117893806,0.03759504533846135,1.9306385149951786,1.3301638178418191,0.14327207414459256,1.4319863353707858,1.505784149892336,1.0515352784441485,0.9665426569879546,0.052112566452605244,0.05155017197907223,0.7808262123424016
2,58,20,2.9785398294833816,8.871699515818891,2.1828663806533695,1.0314177827227982,1.0647952482913654,4.458563378922405,0.14369032310171762,2.710393844978835,0.5731307972839507,2.7155904017783925,1.0019172699971937,0.2922833900185261,5.289067659465606,1.9514018854728123,0.1414132527029224,2.8243630510188775,3.198662706625062,1.132525333622091,0.8489767915053588,0.0585694472447404,0.05720785231716827,0.6371772928743594
2,58,40,6.175971513923355,38.14262414079274,3.641332400657923,1.0314177827227982,1.0647952482913654,4.458563378922405,0.14369032310171762,5.518505674657828,1.227772281407203,5.494193326135968,0.9955943963900394,2.93489223314979,15.91764158344031,2.8844115639017214,0.13875602446496269,5.532972332782959,7.623312562809472,1.3777969786042863,0.7207094397440205,0.12156032430545564,0.12267187040638482,0.5313846572663904
2,58,80,15.46133068472756,239.052746542498,5.476684224412083,1.0314177827227982,1.0647952482913654,4.458563378922405,0.14369032310171762,8.028436215507053,2.1098814118899263,11.651538414448328,1.4512836748884164,11.210581374625045,74.45688532639157,9.274145465909898,0.13739067434218025,10.960760532688182,26.42753441664681,2.411104077844981,0.44088632071211975,0.2885972088531232,0.2829767620609823,0.44108657133343915
2,58,160,99.84667641593437,9969.358791308305,9.207271547077061,1.0314177827227982,1.0647952482913654,4.458563378922405,0.14369032310171762,16.21536520790107,3.7415374055826827,20.89291385744044,1.2884639716446349,20.553984384874543,490.42205513561976,30.24428058497613,0.12683390855692267,20.013141399187006,143.55887704110984,7.173230537757636,0.14553550632370507,0.20149249935856509,0.20809678383904898,0.36478152986072165
2,117,1,1.0657958797546814,1.1359208573020552,0.1274436500041318,1.0236682474681646,1.0657958797546816,4.444761348108109,0.1395051294897068,0.13950512948970697,0.033484270257018375,0.13950512948970697,0.9999999999999928,0.0,0.13950512948970697,0.9999999999999928,0.13950512948970697,0.13950512948970697,0.13950512948970697,0.9999999999999928,0.9999999999999928,nan,nan,nan
2,117,2,1.1359370168852023,1.2903529063300525,0.25491575175840353,1.0236682474681646,1.0657958797546816,4.444761348108109,0.1395051294897068,0.2798606675080517,0.06762171125888583,0.2799406261933547,1.0002857089065567,0.00019073980963367327,0.2909887614111668,1.0397629792074796,0.14094203971293132,0.2818695771686942,0.28012362740593,0.9938058240257682,0.999346712684428,0.3316086394713161,0.3316086394713137,0.9268953125340195
2,117,5,1.372161880246899,1.882828225602705,0.6327750217234872,1.0236682474681646,1.0657958797546816,4.444761348108109,0.1395051294897068,0.708108655532317,0.17474850493398733,0.7110383629534912,1.0041373698771847,0.006529474086607365,0.8190966921791993,1.1567387092076236,0.14442902635282032,0.7219719309744711,0.7142067064949221,0.989244423299021,0.9955638283530254,0.3335353417381601,0.33337842674678525,0.8467358060556097
2,117,10,1.8446707586536468,3.4028102078318208,1.2246016219481186,1.0236682474681646,1.0657958797546816,4.444761348108109,0.1395051294897068,1.4459955304114203,0.36954990885337535,1.4780638300006268,1.0221773158455623,0.07558804180929611,1.9356045787572878,1.3385965157212902,0.14623002750816066,1.461986754320484,1.4977811299779524,1.0244833789031857,0.986835660042254,0.3348136909364782,0.33469806849851885,0.7691117576110305
2,117,20,3.0379703961170343,9.229264127683491,2.222379319191662,1.0236682474681646,1.0657958797546816,4.444761348108109,0.1395051294897068,2.949383483139726,0.7762482171987142,3.219964111881326,1.0917414199572162,0.7870409682984645,4.918753209778745,1.6677225046851323,0.13854997563133498,2.7634055016687897,3.3304784978501987,1.2052080289479625,0.9668172648344044,0.39651829349330425,0.3910610003209217,0.7149845440094551
2,117,40,5.140996455617609,26.429844556672816,3.2744938472774052,1.0236682474681646,1.0657958797546816,4.444761348108109,0.1395051294897068,5.240700715291884,1.2806708660689659,6.814438235658501,1.300291431597037,4.173567539692188,13.579678737112305,2.591195237974198,0.1198590700376238,4.709117718514737,7.978932842021043,1.694358331848542,0.8540538403544728,0.4091188835889935,0.4027648734627944,0.6556635808903521
2,117,80,12.160314700424712,147.87325361336534,4.9963555123445555,1.0236682474681646,1.0657958797546816,4.444761348108109,0.1395051294897068,7.945434659393705,1.8815132131960268,11.073809122492559,1.3937323251913283,11.580719364369138,54.289399050067075,6.832778995404859,0.11393430409335811,8.954776453601712,20.511128909147157,2.2905238355668103,0.539892717341076,0.20624992731146413,0.19947244160057004,0.4342418811769717
2,117,160,142.65666679590257,20350.92458131717,9.92088162381001,1.0236682474681646,1.0657958797546816,4.444761348108109,0.1395051294897068,14.906478462827819,3.59775072917676,35.482471311252006,2.3803389512643376,39.24378321162068,201.75008596849207,13.534389525439884,0.11597298469627121,18.259429333742062,69.73415578460424,3.8190764075929096,0.5088248493442828,0.1650256356404672,0.16853896852700348,0.3790585581581541
2,176,1,1.0552188586838378,1.1134868397220212,0.10749638880576663,1.0312349971737742,1.0552188586838367,4.445259209057443,0.09682633073509954,0.09682633073509957,0.02246720768362699,0.09682633073509957,0.9999999999999897,0.0,0.09682633073509957,0.9999999999999897,0.09682633073509957,0.09682633073509957,0.09682633073509957,0.9999999999999897,0.9999999999999897,nan,nan,nan
