test_index,horizon,epsilon,sigma1_sq,G_TG,G_v2,G_random_mean,G_random_max,G_PGD,alignment
0,20,0.01,6.802330830807203,6.783897045570302,4.435214937594174,1.4612776722787342,2.3587351559326013,6.784007098735369,0.999992744055471
314,20,0.01,7.658840241232818,7.656421167046863,3.8586577827070796,1.398559521536058,2.9357269115543345,7.656463593748973,0.9999977073371054
629,20,0.01,5.552434237545222,5.567228827812422,5.501667607886317,1.319787684003668,2.4507763196789614,5.5673240214012925,0.9999918660247569
944,20,0.01,5.125744140025621,5.118242243230327,3.7341669833662583,1.3941569613075737,2.4688868663028822,5.118254106115461,0.9999990403399692
1258,20,0.01,8.382333596281535,8.38162251551631,6.452391712800845,1.7211275271974553,3.5224729605585585,8.381692972789818,0.9999964180907897
1573,20,0.01,8.072583810631304,8.073049175758399,4.749817097339442,1.77775519903152,2.8659041099210487,8.073105765581571,0.9999970462883543
1888,20,0.01,7.766068098771925,7.7681574199608425,4.364318686415783,1.4967028109878664,2.606410113543786,7.76821774711515,0.9999967501087417
2202,20,0.01,6.4446181811234435,6.442189385539168,5.725395728303562,1.6863103378561586,2.702241466659513,6.442221596981172,0.9999978884580096
2517,20,0.01,4.728725561534067,4.72292690902409,4.009503199146013,1.1798050515723313,2.0727178949425253,4.7229627535350875,0.9999964710287235
2832,20,0.01,6.115373575738554,6.101768686287449,4.968496425396105,1.354280015956864,2.783589960294511,6.101811176402987,0.9999969216685727
3146,20,0.01,7.01982312720778,7.024024815337988,4.204671975660031,1.3813079048548438,2.3802772132954164,7.024083947456893,0.9999962794903074
3461,20,0.01,9.651320799032124,9.64062043533287,4.430573471481526,1.6752915417369791,2.593148560335642,9.640690109891928,0.999997034613964
3776,20,0.01,4.537404908272801,4.544814035339595,4.098977294252423,1.305088107932859,2.2975147821151367,4.544860626366907,0.9999953255850642
4090,20,0.01,9.422294454281795,9.41881506562128,7.926854306977957,1.8575382798200788,3.865010659063334,9.418855846477143,0.999998143817729
4405,20,0.01,6.701472551682992,6.69440982670374,4.415586882843751,1.3278772509545234,2.535617395923111,6.694465795230877,0.9999962587339828
4720,20,0.01,7.5870156366893164,7.593183602436146,4.969657701095844,1.583761968388458,4.638036402622906,7.593262153124609,0.9999957567451059
5034,20,0.01,7.172934847046685,7.184335550423549,5.162749069302788,1.297648566539108,2.2939993970447388,7.1844003434302675,0.9999961579143644
5349,20,0.01,7.17293129778406,7.169109429150789,5.453914632782586,1.6015686176071084,2.474114286762427,7.169198327101208,0.9999943207462294
5664,20,0.01,8.457323363100404,8.459031877051027,5.5742114606942605,1.7342959808293827,2.741435481909161,8.45910933844148,0.9999962140429883
5979,20,0.01,8.23662685252827,8.251705172461271,4.800966948707238,1.4359362454411164,2.75824626586424,8.25178526933808,0.9999960129467631
