epsilon,alignment,sigma1_sq,G_NL_TG,G_NL_PGD
1e-06,0.9999999999999856,9.711861114020488,9.711862444044502,9.711862438193414
3.5938136638046257e-06,0.9999999999998151,9.711861114020488,9.711865890170198,9.711865888351785
1.2915496650148827e-05,0.9999999999976139,9.711861114020488,9.711878273599215,9.711878273723263
4.641588833612782e-05,0.9999999999691831,9.711861114020488,9.711922779151594,9.711922779745972
0.0001668100537200059,0.9999999996020262,9.711861114020488,9.71208269066776,9.712082700279579
0.0005994842503189409,0.9999999948618996,9.711861114020488,9.712656955487875,9.712657079378742
0.0021544346900318843,0.9999999337282601,9.711861114020488,9.714715227507126,9.714716826118746
0.007742636826811277,0.999999148190025,9.711861114020488,9.722040722389211,9.722061299635556
0.02782559402207126,0.9999891854599903,9.711861114020488,9.74743635675631,9.747698924820678
0.1,0.9998682866375581,9.711861114020488,9.826375061885456,9.829623488537967
