epsilon,alignment,sigma1_sq,G_NL_TG,G_NL_PGD
1e-06,0.9999999999999455,8.026236594733119,8.026236821555484,8.026236821347185
3.5938136638046257e-06,0.999999999999296,8.026236594733119,8.026237429466153,8.026237432963462
1.2915496650148827e-05,0.9999999999909077,8.026236594733119,8.026239606308268,8.026239606773096
4.641588833612782e-05,0.9999999998825683,8.026236594733119,8.026247417070964,8.026247419235329
0.0001668100537200059,0.9999999984833947,8.026236594733119,8.026275473139357,8.026275499965665
0.0005994842503189409,0.9999999804161501,8.026236594733119,8.026376119977789,8.02637646654924
0.0021544346900318843,0.9999997472440194,8.026236594733119,8.026735484026512,8.026739957725788
0.007742636826811277,0.9999967438315474,8.026236594733119,8.027996683793576,8.028054350244314
0.02782559402207126,0.9999583273884676,8.026236594733119,8.03213618962577,8.032875729668987
0.1,0.999478910047763,8.026236594733119,8.041853952337492,8.051167347567365
