test_index,horizon,epsilon,sigma1_sq,G_TG,G_v2,G_random_mean,G_random_max,G_PGD,alignment
0,20,0.01,4.9323546867587975,4.926102812110278,4.566441627361659,1.3113278890092477,2.5330670882196706,4.92613674059603,0.9999969815123007
314,20,0.01,7.076435212852166,7.078726077437735,5.50931781815169,1.719831294666281,2.584550751126481,7.07874751541326,0.9999986953881986
629,20,0.01,4.0433209553793015,4.045226864987149,3.5912958424932775,1.1424667160070716,2.1313444112537985,4.045252561270535,0.9999973508556895
944,20,0.01,4.262922299965853,4.262335255473738,3.8259095842645525,1.4702066005418781,2.0514534684597456,4.262381267901719,0.999994984217013
1258,20,0.01,6.796218196975912,6.799474789822239,4.030761704044967,1.3986232714306535,3.313184625274709,6.79953316073564,0.9999963475895537
1573,20,0.01,5.888470046202723,5.885675344251061,4.556064269892379,1.251300551058756,1.889342011270498,5.885700982323585,0.9999982003478006
1888,20,0.01,6.759197485150321,6.779852912178469,3.8071856800928674,1.459509268517771,2.1969125957066002,6.779893181780246,0.9999975052764062
2202,20,0.01,6.1414109962333825,6.13695641082236,4.691877834592534,1.447155951457065,2.5129675217610177,6.137007171041206,0.9999964750030103
2517,20,0.01,5.9153859665981825,5.9106966700351995,3.745742179590469,1.4066877700924938,2.265664869455173,5.9107464924519295,0.9999964257353602
2832,20,0.01,4.537753140137493,4.545177989067312,3.1442327303797346,1.2002366769593524,2.0939401609202872,4.545222667487366,0.9999956763052789
3146,20,0.01,9.260318200639539,9.273081097133126,5.26950821254842,1.6895837353493817,4.1920194139086755,9.273192737479688,0.9999950898954668
3461,20,0.01,8.524095094172333,8.509572236291548,6.175072033218392,1.713027359281255,2.773145596825489,8.509640550401958,0.9999966125876428
3776,20,0.01,15.086349217016751,15.077549601316926,6.643490815071038,2.1849841277098205,6.547086217795805,15.077664392023863,0.9999969498485521
4090,20,0.01,5.642053179607062,5.652088041803757,4.389557353159844,1.470904084246351,2.5903624631251603,5.652128351822523,0.9999970177571906
4405,20,0.01,6.461988178919706,6.461003292900767,4.8435990373870785,1.5907124971477424,3.1994907012429996,6.461048171811362,0.9999968480295868
4720,20,0.01,4.65567696092687,4.65651406961696,3.1390321007108475,1.2238687288577346,2.024462095041211,4.656534608740155,0.9999981253776289
5034,20,0.01,7.2755133761792665,7.269788151952638,5.032031890808989,1.9197316855706414,3.232909632473589,7.269824185205118,0.9999979701166646
5349,20,0.01,5.373187282642633,5.376105738076802,4.372297684491214,1.4032791780549807,2.2154564200335587,5.376155739927267,0.9999959349687922
5664,20,0.01,9.548510846309457,9.551028883762394,4.879723696826484,1.77520439110612,2.688701802081711,9.551069580296497,0.9999982955515792
5979,20,0.01,8.525937086643387,8.528241298407787,5.700810565128085,1.6458293624021008,3.3575882127571015,8.528305647202526,0.9999966571559442
